model,model_name,chunk_config,question_id,question,answer,correct,hallucinated_proxy,grader_reason,input_tokens,output_tokens,cost,retrieved_sources,total_latency_sec
Model A,openai/gpt-oss-120b,medium_o20,Q01,How many Annual Leave days do employees get each year?,Employees are entitled to **20 Annual Leave days per calendar year**.,True,False,Matches deterministic rubric.,668,67,0.0,Leave Types And Eligibility | Leave Types And Eligibility | Carry Forward Rules,7.0546
Model A,openai/gpt-oss-120b,medium_o20,Q02,How many Sick Leave days are provided per calendar year?,Employees are entitled to **10 Sick Leave days per calendar year**.,True,False,Matches deterministic rubric.,668,70,0.0,Leave Types And Eligibility | Leave Types And Eligibility | Carry Forward Rules,1.4424
Model A,openai/gpt-oss-120b,medium_o20,Q03,What is the yearly allowance for Casual Leave?,The yearly allowance for Casual Leave is **5 days per calendar year**.,True,False,Matches deterministic rubric.,666,69,0.0,Leave Types And Eligibility | Leave Types And Eligibility | Carry Forward Rules,1.3567
Model A,openai/gpt-oss-120b,medium_o20,Q04,Can a new employee take Annual Leave immediately after joining?,"No. New employees are only eligible to apply for Annual Leave after they have completed 90 days of employment (the probation period). Until that time, they cannot",True,False,Matches deterministic rubric.,548,120,0.0,Leave Types And Eligibility | Carry Forward Rules | Leave Types And Eligibility,1.306
Model A,openai/gpt-oss-120b,medium_o20,Q05,Is Sick Leave available from the first working day?,"Yes. According to the policy, Sick Leave is available from an employee’s first working day.",True,False,Matches deterministic rubric.,667,92,0.0,Leave Types And Eligibility | Leave Types And Eligibility | Approval Escalation,1.9262
Model B,qwen/qwen3.8-27b,medium_o20,Q01,How many Annual Leave days do employees get each year?,Employees are entitled to 20 Annual Leave days per calendar year.,True,False,Matches deterministic rubric.,626,15,0.0,Leave Types And Eligibility | Leave Types And Eligibility | Carry Forward Rules,1.2078
Model B,qwen/qwen3.8-27b,medium_o20,Q02,How many Sick Leave days are provided per calendar year?,Every employee is entitled to 10 Sick Leave days per calendar year.,True,False,Matches deterministic rubric.,626,16,0.0,Leave Types And Eligibility | Leave Types And Eligibility | Carry Forward Rules,0.9765
Model B,qwen/qwen3.8-27b,medium_o20,Q03,What is the yearly allowance for Casual Leave?,The yearly allowance for Casual Leave is 5 days per calendar year.,True,False,Matches deterministic rubric.,624,15,0.0,Leave Types And Eligibility | Leave Types And Eligibility | Carry Forward Rules,0.889
Model B,qwen/qwen3.8-27b,medium_o20,Q04,Can a new employee take Annual Leave immediately after joining?,"No, a new employee cannot take Annual Leave immediately after joining. According to the policy, new employees become eligible to apply for Annual and Casual Leave only after completing 90 days of employment (their probation period).",True,False,Matches deterministic rubric.,507,44,0.0,Leave Types And Eligibility | Carry Forward Rules | Leave Types And Eligibility,1.3765
Model B,qwen/qwen3.8-27b,medium_o20,Q05,Is Sick Leave available from the first working day?,"Yes, Sick Leave is available from an employee's first working day.",True,False,Matches deterministic rubric.,627,15,0.0,Leave Types And Eligibility | Leave Types And Eligibility | Approval Escalation,5.7269
