id,question,expected,type,context,model_a,model_a_answer,model_a_latency_sec,model_a_hallucinated,model_a_correct,model_a_refusal_correct,model_a_judge_reason,model_b,model_b_answer,model_b_latency_sec,model_b_hallucinated,model_b_correct,model_b_refusal_correct,model_b_judge_reason
Q01,What's my yearly allowance for the regular Annual Leave bucket?,20 Annual Leave days per calendar year.,supported_paraphrase,"[Leave Types And Eligibility]
Leave Types and Eligibility The company offers three types of leave to all confirmed, full-time employees: Annual Leave, Sick Leave, and Casual Leave. Annual Leave: Every employee is entitled to 20 Annual Leave days per calendar year. Annual Leave should be planned in advance and requested at least 5 working days before the intended start date wherever possible, so managers can plan for coverage. Annual Leave can be taken in blocks of one or more working days. Sick Leave: Every employee is entitled to 10 Sick Leave days per calendar year. Sick Leave can be applied for on the same day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive

[Carry Forward Rules]
Leave Carry-Forward Rules Unused Annual Leave: Up to 5 unused Annual Leave days may be carried forward into the next calendar year. Any Annual Leave balance beyond 5 days that remains unused at the end of the calendar year is forfeited and does not carry forward. Carried-forward Annual Leave must be used within the first 3 months (by March 31) of the following year, after which it is forfeited. Unused Sick Leave: Sick Leave does not carry forward. Any unused Sick Leave balance is reset to the standard 10 days at the start of each calendar year. Unused Casual Leave: Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the

[Carry Forward Rules]
Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the start of each calendar year. Employees who join partway through the calendar year receive a pro-rated Annual Leave and Casual Leave balance based on their remaining months in that year, rounded to the nearest whole day. Sick Leave is granted in full regardless of joining date. Employees leaving the company are paid out for any unused, carried-forward Annual Leave balance as part of their final settlement. Unused Sick Leave and Casual Leave are not paid out on exit, since they do not carry forward.",openai/gpt-oss-20b,You are entitled to 20 Annual Leave days per calendar year.,1.8696,False,True,False,Annual Leave allowance is 20 days per calendar year.,openai/gpt-oss-120b,You are entitled to 20 Annual Leave days per calendar year.,0.9015,False,True,False,Annual Leave allowance is 20 days per calendar year.
Q02,How many days of sick time do employees get each calendar year?,10 Sick Leave days per calendar year.,supported_paraphrase,"[Leave Types And Eligibility]
Leave Types and Eligibility The company offers three types of leave to all confirmed, full-time employees: Annual Leave, Sick Leave, and Casual Leave. Annual Leave: Every employee is entitled to 20 Annual Leave days per calendar year. Annual Leave should be planned in advance and requested at least 5 working days before the intended start date wherever possible, so managers can plan for coverage. Annual Leave can be taken in blocks of one or more working days. Sick Leave: Every employee is entitled to 10 Sick Leave days per calendar year. Sick Leave can be applied for on the same day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive

[Leave Types And Eligibility]
day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive working days, a medical certificate should be shared with HR within 3 working days of returning to work. Casual Leave: Every employee is entitled to 5 Casual Leave days per calendar year, intended for short personal matters that come up with little notice. Casual Leave cannot be taken for more than 2 consecutive working days at a time without manager approval in advance. Eligibility: New employees become eligible to apply for Annual and Casual Leave after completing 90 days of employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned

[Carry Forward Rules]
Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the start of each calendar year. Employees who join partway through the calendar year receive a pro-rated Annual Leave and Casual Leave balance based on their remaining months in that year, rounded to the nearest whole day. Sick Leave is granted in full regardless of joining date. Employees leaving the company are paid out for any unused, carried-forward Annual Leave balance as part of their final settlement. Unused Sick Leave and Casual Leave are not paid out on exit, since they do not carry forward.",openai/gpt-oss-20b,Employees receive 10 Sick Leave days per calendar year.,0.8177,False,True,False,Sick Leave allowance is 10 days per calendar year.,openai/gpt-oss-120b,Employees are entitled to 10 Sick Leave days per calendar year.,0.8448,False,True,False,Sick Leave allowance is 10 days per calendar year.
Q03,What is the annual quota for Casual Leave?,5 Casual Leave days per calendar year.,supported_paraphrase,"[Leave Types And Eligibility]
Leave Types and Eligibility The company offers three types of leave to all confirmed, full-time employees: Annual Leave, Sick Leave, and Casual Leave. Annual Leave: Every employee is entitled to 20 Annual Leave days per calendar year. Annual Leave should be planned in advance and requested at least 5 working days before the intended start date wherever possible, so managers can plan for coverage. Annual Leave can be taken in blocks of one or more working days. Sick Leave: Every employee is entitled to 10 Sick Leave days per calendar year. Sick Leave can be applied for on the same day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive

[Carry Forward Rules]
Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the start of each calendar year. Employees who join partway through the calendar year receive a pro-rated Annual Leave and Casual Leave balance based on their remaining months in that year, rounded to the nearest whole day. Sick Leave is granted in full regardless of joining date. Employees leaving the company are paid out for any unused, carried-forward Annual Leave balance as part of their final settlement. Unused Sick Leave and Casual Leave are not paid out on exit, since they do not carry forward.

[Leave Types And Eligibility]
day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive working days, a medical certificate should be shared with HR within 3 working days of returning to work. Casual Leave: Every employee is entitled to 5 Casual Leave days per calendar year, intended for short personal matters that come up with little notice. Casual Leave cannot be taken for more than 2 consecutive working days at a time without manager approval in advance. Eligibility: New employees become eligible to apply for Annual and Casual Leave after completing 90 days of employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned",openai/gpt-oss-20b,The annual quota for Casual Leave is 5 days per calendar year.,0.8343,False,True,False,Casual Leave allowance is 5 days per calendar year.,openai/gpt-oss-120b,Employees are entitled to 5 Casual Leave days per calendar year.,1.5715,False,True,False,Casual Leave allowance is 5 days per calendar year.
Q04,Do I become eligible for Annual Leave immediately when I join?,No. Annual Leave eligibility begins after completing 90 days of employment.,supported_paraphrase,"[Leave Types And Eligibility]
day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive working days, a medical certificate should be shared with HR within 3 working days of returning to work. Casual Leave: Every employee is entitled to 5 Casual Leave days per calendar year, intended for short personal matters that come up with little notice. Casual Leave cannot be taken for more than 2 consecutive working days at a time without manager approval in advance. Eligibility: New employees become eligible to apply for Annual and Casual Leave after completing 90 days of employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned

[Carry Forward Rules]
Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the start of each calendar year. Employees who join partway through the calendar year receive a pro-rated Annual Leave and Casual Leave balance based on their remaining months in that year, rounded to the nearest whole day. Sick Leave is granted in full regardless of joining date. Employees leaving the company are paid out for any unused, carried-forward Annual Leave balance as part of their final settlement. Unused Sick Leave and Casual Leave are not paid out on exit, since they do not carry forward.

[Leave Types And Eligibility]
Leave Types and Eligibility The company offers three types of leave to all confirmed, full-time employees: Annual Leave, Sick Leave, and Casual Leave. Annual Leave: Every employee is entitled to 20 Annual Leave days per calendar year. Annual Leave should be planned in advance and requested at least 5 working days before the intended start date wherever possible, so managers can plan for coverage. Annual Leave can be taken in blocks of one or more working days. Sick Leave: Every employee is entitled to 10 Sick Leave days per calendar year. Sick Leave can be applied for on the same day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive",openai/gpt-oss-20b,No. New employees are only eligible to apply for Annual Leave after completing 90 days of employment (their probation period).,0.7566,False,True,False,"Annual Leave eligibility begins after 90 days, not immediately.",openai/gpt-oss-120b,No. New employees become eligible to apply for Annual Leave only after completing 90 days of employment (the probation period).,1.0782,False,True,False,"Annual Leave eligibility begins after 90 days, not immediately."
Q05,Is Sick Leave available from day one of employment?,"Yes, from the employee's first working day.",supported_paraphrase,"[Leave Types And Eligibility]
employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned for. All leave requests are validated against the employee's current leave balance at the time of application, and again at the time of manager approval, since the balance may have changed between the two.

[Leave Types And Eligibility]
day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive working days, a medical certificate should be shared with HR within 3 working days of returning to work. Casual Leave: Every employee is entitled to 5 Casual Leave days per calendar year, intended for short personal matters that come up with little notice. Casual Leave cannot be taken for more than 2 consecutive working days at a time without manager approval in advance. Eligibility: New employees become eligible to apply for Annual and Casual Leave after completing 90 days of employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned

[Leave Types And Eligibility]
Leave Types and Eligibility The company offers three types of leave to all confirmed, full-time employees: Annual Leave, Sick Leave, and Casual Leave. Annual Leave: Every employee is entitled to 20 Annual Leave days per calendar year. Annual Leave should be planned in advance and requested at least 5 working days before the intended start date wherever possible, so managers can plan for coverage. Annual Leave can be taken in blocks of one or more working days. Sick Leave: Every employee is entitled to 10 Sick Leave days per calendar year. Sick Leave can be applied for on the same day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive",openai/gpt-oss-20b,Yes. Sick Leave is available from an employee’s first working day.,0.7635,False,True,False,Sick Leave is available from the first working day.,openai/gpt-oss-120b,Yes. Sick Leave is available from an employee’s first working day.,0.3389,False,True,False,Sick Leave is available from the first working day.
Q06,"Can I move some unused Annual Leave into the next year, and if so how much?",Yes. Up to 5 unused Annual Leave days can be carried forward.,supported_paraphrase,"[Carry Forward Rules]
Leave Carry-Forward Rules Unused Annual Leave: Up to 5 unused Annual Leave days may be carried forward into the next calendar year. Any Annual Leave balance beyond 5 days that remains unused at the end of the calendar year is forfeited and does not carry forward. Carried-forward Annual Leave must be used within the first 3 months (by March 31) of the following year, after which it is forfeited. Unused Sick Leave: Sick Leave does not carry forward. Any unused Sick Leave balance is reset to the standard 10 days at the start of each calendar year. Unused Casual Leave: Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the

[Carry Forward Rules]
Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the start of each calendar year. Employees who join partway through the calendar year receive a pro-rated Annual Leave and Casual Leave balance based on their remaining months in that year, rounded to the nearest whole day. Sick Leave is granted in full regardless of joining date. Employees leaving the company are paid out for any unused, carried-forward Annual Leave balance as part of their final settlement. Unused Sick Leave and Casual Leave are not paid out on exit, since they do not carry forward.

[Leave Types And Eligibility]
Leave Types and Eligibility The company offers three types of leave to all confirmed, full-time employees: Annual Leave, Sick Leave, and Casual Leave. Annual Leave: Every employee is entitled to 20 Annual Leave days per calendar year. Annual Leave should be planned in advance and requested at least 5 working days before the intended start date wherever possible, so managers can plan for coverage. Annual Leave can be taken in blocks of one or more working days. Sick Leave: Every employee is entitled to 10 Sick Leave days per calendar year. Sick Leave can be applied for on the same day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive",openai/gpt-oss-20b,"Yes. You may carry forward up to 5 unused Annual Leave days into the next calendar year, and those carried‑forward days must be used by March 31 of that year.",0.5304,False,True,False,Up to 5 unused Annual Leave days may be carried forward.,openai/gpt-oss-120b,Yes—you may carry forward up to 5 unused Annual Leave days into the next calendar year.,0.7962,False,True,False,Up to 5 unused Annual Leave days may be carried forward.
Q07,By what date do carried-forward Annual Leave days need to be consumed?,By March 31 of the following year.,supported_paraphrase,"[Carry Forward Rules]
Leave Carry-Forward Rules Unused Annual Leave: Up to 5 unused Annual Leave days may be carried forward into the next calendar year. Any Annual Leave balance beyond 5 days that remains unused at the end of the calendar year is forfeited and does not carry forward. Carried-forward Annual Leave must be used within the first 3 months (by March 31) of the following year, after which it is forfeited. Unused Sick Leave: Sick Leave does not carry forward. Any unused Sick Leave balance is reset to the standard 10 days at the start of each calendar year. Unused Casual Leave: Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the

[Carry Forward Rules]
Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the start of each calendar year. Employees who join partway through the calendar year receive a pro-rated Annual Leave and Casual Leave balance based on their remaining months in that year, rounded to the nearest whole day. Sick Leave is granted in full regardless of joining date. Employees leaving the company are paid out for any unused, carried-forward Annual Leave balance as part of their final settlement. Unused Sick Leave and Casual Leave are not paid out on exit, since they do not carry forward.

[Leave Types And Eligibility]
Leave Types and Eligibility The company offers three types of leave to all confirmed, full-time employees: Annual Leave, Sick Leave, and Casual Leave. Annual Leave: Every employee is entitled to 20 Annual Leave days per calendar year. Annual Leave should be planned in advance and requested at least 5 working days before the intended start date wherever possible, so managers can plan for coverage. Annual Leave can be taken in blocks of one or more working days. Sick Leave: Every employee is entitled to 10 Sick Leave days per calendar year. Sick Leave can be applied for on the same day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive",openai/gpt-oss-20b,Carried‑forward Annual Leave must be used by March 31 of the following calendar year.,0.649,False,True,False,Carried-forward Annual Leave must be used by March 31 of the following year.,openai/gpt-oss-120b,"Carried‑forward Annual Leave must be used by March 31 of the following year (the end of the first 3 months), after which it is forfeited.",0.9912,False,True,False,Carried-forward Annual Leave must be used by March 31 of the following year.
Q08,Does unused sick time roll over to the next calendar year?,No. Unused Sick Leave does not carry forward.,supported_paraphrase,"[Carry Forward Rules]
Leave Carry-Forward Rules Unused Annual Leave: Up to 5 unused Annual Leave days may be carried forward into the next calendar year. Any Annual Leave balance beyond 5 days that remains unused at the end of the calendar year is forfeited and does not carry forward. Carried-forward Annual Leave must be used within the first 3 months (by March 31) of the following year, after which it is forfeited. Unused Sick Leave: Sick Leave does not carry forward. Any unused Sick Leave balance is reset to the standard 10 days at the start of each calendar year. Unused Casual Leave: Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the

[Carry Forward Rules]
Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the start of each calendar year. Employees who join partway through the calendar year receive a pro-rated Annual Leave and Casual Leave balance based on their remaining months in that year, rounded to the nearest whole day. Sick Leave is granted in full regardless of joining date. Employees leaving the company are paid out for any unused, carried-forward Annual Leave balance as part of their final settlement. Unused Sick Leave and Casual Leave are not paid out on exit, since they do not carry forward.

[Leave Types And Eligibility]
day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive working days, a medical certificate should be shared with HR within 3 working days of returning to work. Casual Leave: Every employee is entitled to 5 Casual Leave days per calendar year, intended for short personal matters that come up with little notice. Casual Leave cannot be taken for more than 2 consecutive working days at a time without manager approval in advance. Eligibility: New employees become eligible to apply for Annual and Casual Leave after completing 90 days of employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned",openai/gpt-oss-20b,No. Unused sick leave does not carry forward; it is reset to the standard 10 days at the start of each calendar year.,0.7497,False,True,False,Unused Sick Leave does not carry forward.,openai/gpt-oss-120b,No. Unused sick leave does not carry forward; the balance is reset to the standard 10 days at the start of each calendar year.,0.8749,False,True,False,Unused Sick Leave does not carry forward.
Q09,What happens to unused Casual Leave at year-end?,It does not carry forward.,supported_paraphrase,"[Carry Forward Rules]
Leave Carry-Forward Rules Unused Annual Leave: Up to 5 unused Annual Leave days may be carried forward into the next calendar year. Any Annual Leave balance beyond 5 days that remains unused at the end of the calendar year is forfeited and does not carry forward. Carried-forward Annual Leave must be used within the first 3 months (by March 31) of the following year, after which it is forfeited. Unused Sick Leave: Sick Leave does not carry forward. Any unused Sick Leave balance is reset to the standard 10 days at the start of each calendar year. Unused Casual Leave: Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the

[Carry Forward Rules]
Casual Leave does not carry forward. Any unused Casual Leave balance is reset to the standard 5 days at the start of each calendar year. Employees who join partway through the calendar year receive a pro-rated Annual Leave and Casual Leave balance based on their remaining months in that year, rounded to the nearest whole day. Sick Leave is granted in full regardless of joining date. Employees leaving the company are paid out for any unused, carried-forward Annual Leave balance as part of their final settlement. Unused Sick Leave and Casual Leave are not paid out on exit, since they do not carry forward.

[Leave Types And Eligibility]
day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive working days, a medical certificate should be shared with HR within 3 working days of returning to work. Casual Leave: Every employee is entitled to 5 Casual Leave days per calendar year, intended for short personal matters that come up with little notice. Casual Leave cannot be taken for more than 2 consecutive working days at a time without manager approval in advance. Eligibility: New employees become eligible to apply for Annual and Casual Leave after completing 90 days of employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned",openai/gpt-oss-20b,Unused Casual Leave does not carry forward. At the end of the calendar year any remaining balance is reset to the standard 5 days for the new year.,0.7028,False,True,False,Unused Casual Leave does not carry forward; the standard balance is 5 at the start of the next year.,openai/gpt-oss-120b,Unused Casual Leave does not carry forward; any balance left at year‑end is forfeited and the employee’s Casual Leave is reset to the standard 5 days at the start of the new calendar year.,1.3922,False,True,False,Unused Casual Leave does not carry forward; the standard balance is 5 at the start of the next year.
Q10,How much advance notice is expected for Annual Leave requests?,"At least 5 working days before the intended start date, wherever possible.",supported_paraphrase,"[Leave Types And Eligibility]
Leave Types and Eligibility The company offers three types of leave to all confirmed, full-time employees: Annual Leave, Sick Leave, and Casual Leave. Annual Leave: Every employee is entitled to 20 Annual Leave days per calendar year. Annual Leave should be planned in advance and requested at least 5 working days before the intended start date wherever possible, so managers can plan for coverage. Annual Leave can be taken in blocks of one or more working days. Sick Leave: Every employee is entitled to 10 Sick Leave days per calendar year. Sick Leave can be applied for on the same day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive

[Leave Types And Eligibility]
day it is needed and does not require 5 days' advance notice. For Sick Leave of 3 or more consecutive working days, a medical certificate should be shared with HR within 3 working days of returning to work. Casual Leave: Every employee is entitled to 5 Casual Leave days per calendar year, intended for short personal matters that come up with little notice. Casual Leave cannot be taken for more than 2 consecutive working days at a time without manager approval in advance. Eligibility: New employees become eligible to apply for Annual and Casual Leave after completing 90 days of employment (their probation period). Sick Leave is available from an employee's first working day, since it cannot reasonably be planned

[Approval Escalation]
Leave Approval and Escalation Procedure Every leave request starts in Pending status once submitted and is not deducted from the employee's balance until it is approved. Only an employee's direct manager can approve or reject a Pending leave request. Standard approval turnaround: managers are expected to approve or reject a leave request within 2 working days of it being submitted. Sick Leave requests should be actioned the same working day where possible, since they are often applied for on short notice. Escalation: if a leave request remains Pending for more than 3 working days without a manager response, the employee should escalate to HR directly, who can reassign the approval to a secondary approver (typically the manager's own manager). Escalated",openai/gpt-oss-20b,Annual Leave requests should be submitted at least 5 working days before the intended start date.,0.6692,False,True,False,"Annual Leave should be requested at least 5 working days in advance, wherever possible.",openai/gpt-oss-120b,"Annual Leave requests should be submitted at least 5 working days before the intended start date, wherever possible.",0.6667,False,True,False,"Annual Leave should be requested at least 5 working days in advance, wherever possible."
