config,chunk_size_words,overlap_words,num_chunks,index_build_latency_sec,question_id,question,type,gold_title,retrieved_sources,retrieval_top1_correct,retrieval_top3_correct,mrr,relevant_chunk_percentage,context_words,context_chars,estimated_context_tokens,retrieval_latency_sec,rerank_latency_sec,generation_latency_sec,total_latency_sec,answer,answer_correct,hallucinated_proxy,grader_reason
small_o0,80,0,12,134.7279,Q01,How many Annual Leave days do employees get each year?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Carry Forward Rules,True,True,1.0,66.67,251,1468,367,0.038,78.4248,9.6863,88.1492,Employees are entitled to 20 Annual Leave days per calendar year.,True,False,Matches deterministic rubric.
small_o0,80,0,12,134.7279,Q02,How many Sick Leave days are provided per calendar year?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Carry Forward Rules,True,True,1.0,66.67,251,1468,367,0.3254,0.3409,5.6682,6.3345,Employees are entitled to 10 Sick Leave days per calendar year.,True,False,Matches deterministic rubric.
small_o0,80,0,12,134.7279,Q03,What is the yearly allowance for Casual Leave?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Leave Types And Eligibility,True,True,1.0,100.0,252,1523,381,0.0316,0.3166,10.0981,10.4463,The yearly allowance for Casual Leave is 5 days per calendar year.,True,False,Matches deterministic rubric.
small_o0,80,0,12,134.7279,Q04,Can a new employee take Annual Leave immediately after joining?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Carry Forward Rules | Leave Types And Eligibility,True,True,1.0,66.67,215,1333,334,0.0406,0.3594,6.0695,6.4696,"No, a new employee cannot take Annual Leave immediately after joining. According to the policy, new employees become eligible to apply for Annual Leave only after completing 90 days of employment (their probation period).",True,False,Matches deterministic rubric.
small_o0,80,0,12,134.7279,Q05,Is Sick Leave available from the first working day?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Approval Escalation,True,True,1.0,66.67,250,1535,384,0.0562,0.3387,1.9031,2.298,"Yes, Sick Leave is available from an employee's first working day.",True,False,Matches deterministic rubric.
small_o10,80,10,13,0.5694,Q01,How many Annual Leave days do employees get each year?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Leave Types And Eligibility,True,True,1.0,100.0,252,1507,377,0.0257,0.3538,1.7572,2.1367,Employees are entitled to 20 Annual Leave days per calendar year.,True,False,Matches deterministic rubric.
small_o10,80,10,13,0.5694,Q02,How many Sick Leave days are provided per calendar year?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Leave Types And Eligibility,True,True,1.0,100.0,252,1507,377,0.02,0.3625,8.5182,8.9007,Every employee is entitled to 10 Sick Leave days per calendar year.,True,False,Matches deterministic rubric.
small_o10,80,10,13,0.5694,Q03,What is the yearly allowance for Casual Leave?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Carry Forward Rules,True,True,1.0,66.67,251,1527,382,0.0365,0.3265,1.4108,1.7738,The yearly allowance for Casual Leave is 5 days per calendar year.,True,False,Matches deterministic rubric.
small_o10,80,10,13,0.5694,Q04,Can a new employee take Annual Leave immediately after joining?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Carry Forward Rules | Leave Types And Eligibility,True,True,1.0,66.67,235,1443,361,0.0325,0.3426,1.9489,2.324,"No, a new employee cannot take Annual Leave immediately after joining. According to the policy, new employees become eligible to apply for Annual and Casual Leave only after completing 90 days of employment (their probation period).",True,False,Matches deterministic rubric.
small_o10,80,10,13,0.5694,Q05,Is Sick Leave available from the first working day?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Leave Types And Eligibility,True,True,1.0,100.0,216,1298,325,0.0399,0.3078,0.6251,0.9727,"Yes, Sick Leave is available from an employee's first working day.",True,False,Matches deterministic rubric.
small_o20,80,20,16,0.4778,Q01,How many Annual Leave days do employees get each year?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Leave Types And Eligibility,True,True,1.0,100.0,252,1487,372,0.018,0.3069,0.8259,1.1508,Employees are entitled to 20 Annual Leave days per calendar year.,True,False,Matches deterministic rubric.
small_o20,80,20,16,0.4778,Q02,How many Sick Leave days are provided per calendar year?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Carry Forward Rules,True,True,1.0,66.67,251,1457,365,0.0348,0.3018,0.9111,1.2478,Every employee is entitled to 10 Sick Leave days per calendar year.,True,False,Matches deterministic rubric.
small_o20,80,20,16,0.4778,Q03,What is the yearly allowance for Casual Leave?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Leave Types And Eligibility,True,True,1.0,100.0,246,1528,382,0.0335,0.375,0.7989,1.2074,Every employee is entitled to 5 Casual Leave days per calendar year.,True,False,Matches deterministic rubric.
small_o20,80,20,16,0.4778,Q04,Can a new employee take Annual Leave immediately after joining?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Carry Forward Rules,True,True,1.0,66.67,245,1518,380,0.0297,0.3215,1.8041,2.1553,"No, a new employee cannot take Annual Leave immediately after joining. According to the policy, new employees become eligible to apply for Annual Leave only after completing 90 days of employment (their probation period).",True,False,Matches deterministic rubric.
small_o20,80,20,16,0.4778,Q05,Is Sick Leave available from the first working day?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Approval Escalation,True,True,1.0,66.67,244,1489,373,0.0261,0.3192,2.5884,2.9337,"Yes, Sick Leave is available from an employee's first working day.",True,False,Matches deterministic rubric.
medium_o0,160,0,7,0.4423,Q01,How many Annual Leave days do employees get each year?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Carry Forward Rules | Leave Types And Eligibility,True,True,1.0,66.67,425,2519,630,0.0146,0.546,3.9519,4.5124,Employees are entitled to 20 Annual Leave days per calendar year.,True,False,Matches deterministic rubric.
medium_o0,160,0,7,0.4423,Q02,How many Sick Leave days are provided per calendar year?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Carry Forward Rules | Leave Types And Eligibility,True,True,1.0,66.67,425,2519,630,0.0399,0.9736,1.517,2.5305,Every employee is entitled to 10 Sick Leave days per calendar year.,True,False,Matches deterministic rubric.
medium_o0,160,0,7,0.4423,Q03,What is the yearly allowance for Casual Leave?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Carry Forward Rules,True,True,1.0,66.67,425,2519,630,0.0248,0.6213,0.8563,1.5024,The yearly allowance for Casual Leave is 5 days per calendar year.,True,False,Matches deterministic rubric.
medium_o0,160,0,7,0.4423,Q04,Can a new employee take Annual Leave immediately after joining?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Carry Forward Rules | Leave Types And Eligibility,True,True,1.0,66.67,309,1858,465,0.0418,0.4754,0.9819,1.4991,"No, a new employee cannot take Annual Leave immediately after joining. According to the policy, new employees become eligible to apply for Annual and Casual Leave only after completing 90 days of employment (their probation period).",True,False,Matches deterministic rubric.
medium_o0,160,0,7,0.4423,Q05,Is Sick Leave available from the first working day?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Approval Escalation,True,True,1.0,66.67,424,2599,650,0.021,0.4664,1.5079,1.9953,"Yes, Sick Leave is available from an employee's first working day.",True,False,Matches deterministic rubric.
medium_o20,160,20,7,0.4685,Q01,How many Annual Leave days do employees get each year?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Carry Forward Rules,True,True,1.0,66.67,445,2637,660,0.0236,0.5214,2.8685,3.4135,Employees are entitled to 20 Annual Leave days per calendar year.,True,False,Matches deterministic rubric.
medium_o20,160,20,7,0.4685,Q02,How many Sick Leave days are provided per calendar year?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Carry Forward Rules,True,True,1.0,66.67,445,2637,660,0.0266,0.4367,1.5715,2.0348,Every employee is entitled to 10 Sick Leave days per calendar year.,True,False,Matches deterministic rubric.
medium_o20,160,20,7,0.4685,Q03,What is the yearly allowance for Casual Leave?,supported,Leave Types And Eligibility,Leave Types And Eligibility | Leave Types And Eligibility | Carry Forward Rules,True,True,1.0,66.67,445,2637,660,0.0368,0.5179,1.5087,2.0634,The yearly allowance for Casual Leave is 5 days per calendar year.,True,False,Matches deterministic rubric.
