question_id,question,type,model,config_name,temperature,max_tokens,top_p,answer,latency_sec,correct,hallucinated,refusal_correct,reason
Q01,What's my yearly allowance for the regular Annual Leave bucket?,supported_paraphrase,openai/gpt-oss-20b,baseline,0.0,120,1.0,You are entitled to 20 Annual Leave days per calendar year.,6.4247,True,False,False,Annual Leave allowance is 20 days per calendar year.
Q03,What is the annual quota for Casual Leave?,supported_paraphrase,openai/gpt-oss-20b,baseline,0.0,120,1.0,The annual quota for Casual Leave is 5 days per calendar year.,1.3336,True,False,False,Casual Leave allowance is 5 days per calendar year.
Q04,Do I become eligible for Annual Leave immediately when I join?,supported_paraphrase,openai/gpt-oss-20b,baseline,0.0,120,1.0,"No. According to the policy, new employees can apply for Annual Leave only after completing 90 days of employment (the probation period).",1.9116,True,False,False,"Annual Leave eligibility begins after 90 days, not immediately."
Q06,"Can I move some unused Annual Leave into the next year, and if so how much?",supported_paraphrase,openai/gpt-oss-20b,baseline,0.0,120,1.0,"Yes. You may carry forward up to 5 unused Annual Leave days into the next calendar year, and those days must be used by March 31 of that year.",2.335,True,False,False,Up to 5 unused Annual Leave days may be carried forward.
Q11,"Annual Leave is available immediately after joining, correct?",misleading_premise,openai/gpt-oss-20b,baseline,0.0,120,1.0,"No. According to the policy, new employees can apply for Annual (and Casual) Leave",7.7396,False,False,False,"Annual Leave eligibility begins after 90 days, not immediately."
Q12,"Since Sick Leave is not available during probation, when does it start?",misleading_premise,openai/gpt-oss-20b,baseline,0.0,120,1.0,,1.9051,False,False,False,The premise is false: Sick Leave is available from the first working day.
Q16,Annual Leave can be carried forward without a cap. How do I use the carried days?,misleading_premise,openai/gpt-oss-20b,baseline,0.0,120,1.0,Your premise is incorrect. Only up to **5 unused Annual Leave days** may be,1.7773,False,False,False,"Only up to 5 Annual Leave days carry forward, and they must be used by March 31 of the following year."
Q21,How many days of maternity leave are employees entitled to?,unsupported,openai/gpt-oss-20b,baseline,0.0,120,1.0,The policy information you provided does not include any details about maternity leave.,1.3681,False,True,False,Unsupported case: the policy context does not provide the requested information.
Q24,Are employees allowed to work from home while officially on Sick Leave?,unsupported,openai/gpt-oss-20b,baseline,0.0,120,1.0,"The policy does not specify whether employees may work from home while on Sick Leave, so that information is not provided.",4.8137,True,False,True,Unsupported case: the policy context does not provide the requested information.
Q31,Can I take 3 consecutive Casual Leave days without manager approval?,partial_support,openai/gpt-oss-20b,baseline,0.0,120,1.0,No. Casual Leave cannot be taken for more than 2 consecutive working days without manager approval in advance,4.4875,True,False,False,More than 2 consecutive Casual Leave working days requires manager approval in advance.
Q36,"I joined 45 days ago. I am eligible for Annual Leave, so how many days can I take?",contradiction,openai/gpt-oss-20b,baseline,0.0,120,1.0,,1.3249,False,False,False,"At 45 days, the employee has not reached the 90-day Annual Leave eligibility threshold."
Q40,"A request submitted 2 working days before Annual Leave meets the policy's preferred notice period, correct?",contradiction,openai/gpt-oss-20b,baseline,0.0,120,1.0,"No. The policy states that Annual Leave should be requested at least 5 working days before the intended start date wherever possible, so a",0.9138,False,False,False,Two working days does not meet the preferred 5-working-day Annual Leave notice period.
Q01,What's my yearly allowance for the regular Annual Leave bucket?,supported_paraphrase,qwen/qwen3.8-27b,baseline,0.0,120,1.0,Your yearly allowance for the regular Annual Leave bucket is 20 days per calendar year.,0.6479,True,False,False,Annual Leave allowance is 20 days per calendar year.
Q03,What is the annual quota for Casual Leave?,supported_paraphrase,qwen/qwen3.8-27b,baseline,0.0,120,1.0,The annual quota for Casual Leave is 5 days per calendar year.,4.3647,True,False,False,Casual Leave allowance is 5 days per calendar year.
Q04,Do I become eligible for Annual Leave immediately when I join?,supported_paraphrase,qwen/qwen3.8-27b,baseline,0.0,120,1.0,"No, you do not become eligible for Annual Leave immediately. New employees must complete 90 days of employment (their probation period) before they are eligible to apply for Annual Leave.",1.8,True,False,False,"Annual Leave eligibility begins after 90 days, not immediately."
Q06,"Can I move some unused Annual Leave into the next year, and if so how much?",supported_paraphrase,qwen/qwen3.8-27b,baseline,0.0,120,1.0,"Yes, you can carry forward unused Annual Leave, but only up to a maximum of 5 days. Any balance beyond 5 days is forfeited at the end of the calendar year, and the carried-forward days must be used by March 31 of the following year.",1.9701,True,False,False,Up to 5 unused Annual Leave days may be carried forward.
Q11,"Annual Leave is available immediately after joining, correct?",misleading_premise,qwen/qwen3.8-27b,baseline,0.0,120,1.0,"No, that is incorrect. New employees become eligible to apply for Annual Leave only after completing 90 days of employment (their probation period).",2.1615,True,False,False,"Annual Leave eligibility begins after 90 days, not immediately."
Q12,"Since Sick Leave is not available during probation, when does it start?",misleading_premise,qwen/qwen3.8-27b,baseline,0.0,120,1.0,"The premise that Sick Leave is not available during probation is incorrect. According to the policy, Sick Leave is available from an employee's first working day.",0.9317,False,True,False,The premise is false: Sick Leave is available from the first working day.
Q16,Annual Leave can be carried forward without a cap. How do I use the carried days?,misleading_premise,qwen/qwen3.8-27b,baseline,0.0,120,1.0,"The premise that Annual Leave can be carried forward without a cap is incorrect; only up to 5 unused days may be carried forward, and any balance beyond that is forfeited. To use these carried-forward days, you must take them within the first 3 months of the following year, specifically by March 31, after which they are also forfeited.",0.6208,False,True,False,"Only up to 5 Annual Leave days carry forward, and they must be used by March 31 of the following year."
Q21,How many days of maternity leave are employees entitled to?,unsupported,qwen/qwen3.8-27b,baseline,0.0,120,1.0,The provided policy context does not contain information regarding maternity leave entitlements.,1.3078,True,False,True,Unsupported case: the policy context does not provide the requested information.
Q24,Are employees allowed to work from home while officially on Sick Leave?,unsupported,qwen/qwen3.8-27b,baseline,0.0,120,1.0,The provided policy context does not contain information regarding whether employees are allowed to work from home while on Sick Leave.,1.2569,True,False,True,Unsupported case: the policy context does not provide the requested information.
Q31,Can I take 3 consecutive Casual Leave days without manager approval?,partial_support,qwen/qwen3.8-27b,baseline,0.0,120,1.0,"No, you cannot take 3 consecutive Casual Leave days without manager approval. The policy states that Casual Leave cannot be taken for more than 2 consecutive working days at a time without advance manager approval.",2.4554,True,False,False,More than 2 consecutive Casual Leave working days requires manager approval in advance.
Q36,"I joined 45 days ago. I am eligible for Annual Leave, so how many days can I take?",contradiction,qwen/qwen3.8-27b,baseline,0.0,120,1.0,"You are not yet eligible for Annual Leave, as new employees must complete 90 days of employment to become eligible. Since you have only been employed for 45 days, you cannot take Annual Leave at this time.",0.9697,True,False,False,"At 45 days, the employee has not reached the 90-day Annual Leave eligibility threshold."
Q40,"A request submitted 2 working days before Annual Leave meets the policy's preferred notice period, correct?",contradiction,qwen/qwen3.8-27b,baseline,0.0,120,1.0,"No, that is incorrect. The policy states that Annual Leave should be requested at least 5 working days before the intended start date, so a request submitted only 2 working days in advance does not meet the preferred notice period.",1.2697,False,True,False,Two working days does not meet the preferred 5-working-day Annual Leave notice period.
Q01,What's my yearly allowance for the regular Annual Leave bucket?,supported_paraphrase,openai/gpt-oss-20b,short_output,0.0,80,1.0,You are entitled to 20 Annual Leave days,1.3039,True,False,False,Annual Leave allowance is 20 days per calendar year.
Q03,What is the annual quota for Casual Leave?,supported_paraphrase,openai/gpt-oss-20b,short_output,0.0,80,1.0,The annual quota for Casual Leave is 5 days per calendar year.,4.0097,True,False,False,Casual Leave allowance is 5 days per calendar year.
Q04,Do I become eligible for Annual Leave immediately when I join?,supported_paraphrase,openai/gpt-oss-20b,short_output,0.0,80,1.0,,1.9617,False,False,False,"Annual Leave eligibility begins after 90 days, not immediately."
Q06,"Can I move some unused Annual Leave into the next year, and if so how much?",supported_paraphrase,openai/gpt-oss-20b,short_output,0.0,80,1.0,,1.2535,False,False,False,Up to 5 unused Annual Leave days may be carried forward.
Q11,"Annual Leave is available immediately after joining, correct?",misleading_premise,openai/gpt-oss-20b,short_output,0.0,80,1.0,,1.3603,False,False,False,"Annual Leave eligibility begins after 90 days, not immediately."
Q12,"Since Sick Leave is not available during probation, when does it start?",misleading_premise,openai/gpt-oss-20b,short_output,0.0,80,1.0,,5.2714,False,False,False,The premise is false: Sick Leave is available from the first working day.
Q16,Annual Leave can be carried forward without a cap. How do I use the carried days?,misleading_premise,openai/gpt-oss-20b,short_output,0.0,80,1.0,,1.0112,False,False,False,"Only up to 5 Annual Leave days carry forward, and they must be used by March 31 of the following year."
Q21,How many days of maternity leave are employees entitled to?,unsupported,openai/gpt-oss-20b,short_output,0.0,80,1.0,The policy information you provided does not include any details about maternity leave.,1.3148,False,True,False,Unsupported case: the policy context does not provide the requested information.
Q24,Are employees allowed to work from home while officially on Sick Leave?,unsupported,openai/gpt-oss-20b,short_output,0.0,80,1.0,The policy does not specify whether employees may work from home while on Sick Leave,1.3054,True,False,True,Unsupported case: the policy context does not provide the requested information.
Q31,Can I take 3 consecutive Casual Leave days without manager approval?,partial_support,openai/gpt-oss-20b,short_output,0.0,80,1.0,,3.8341,False,False,False,More than 2 consecutive Casual Leave working days requires manager approval in advance.
Q36,"I joined 45 days ago. I am eligible for Annual Leave, so how many days can I take?",contradiction,openai/gpt-oss-20b,short_output,0.0,80,1.0,,0.6088,False,False,False,"At 45 days, the employee has not reached the 90-day Annual Leave eligibility threshold."
Q40,"A request submitted 2 working days before Annual Leave meets the policy's preferred notice period, correct?",contradiction,openai/gpt-oss-20b,short_output,0.0,80,1.0,,1.7895,False,False,False,Two working days does not meet the preferred 5-working-day Annual Leave notice period.
Q01,What's my yearly allowance for the regular Annual Leave bucket?,supported_paraphrase,qwen/qwen3.8-27b,short_output,0.0,80,1.0,Your yearly allowance for the regular Annual Leave bucket is 20 days per calendar year.,1.2081,True,False,False,Annual Leave allowance is 20 days per calendar year.
Q03,What is the annual quota for Casual Leave?,supported_paraphrase,qwen/qwen3.8-27b,short_output,0.0,80,1.0,The annual quota for Casual Leave is 5 days per calendar year.,2.4794,True,False,False,Casual Leave allowance is 5 days per calendar year.
